"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,1263.092,4448.172,4747.721,2012.237,0,2930.03383,1608.47423,792.87695,3141.19083,6716.87383,7443.28671,8138.26367,1678.38069,3743.134239164,2152.65617
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.959,0,0,0,0,0,0,34.68537,0,0,0,5.53871
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052.769,8004.411,17211.617,9063.373,2286.478,8475.40364,6190.45958,2686.82094,7300.62042,12302.46035,8352.83021,7796.74216,3499.575,3493.395824648,4478.00906
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.049,0,0,0,0,0,13.42955,0,71.0167,12.36389,31.57916,0,10.26432
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.346152129
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.723637103,3.73949682
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0.60653,0,0,0,3.15843,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,5.49495,3.96043,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01787,2.51967,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,3.768,9.184,1.101,0,0.624,2.388,9.291,2.6705,0,1.04151,0.60339,2.95692,71.81131,25.42972409,38.50048,30.903095004,88.863649589
"12",0,0,0,0,0,0,0,0,0,0,0,0,0.56,21.81,0.336,0,0,21.165,1.641,0,0,0,5.23402,0,8.64563,0,0.20364,145.371252796,45.573575294
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.738,0,0,0,0.832,0,0,1.19037,10.43936,66.2676,34.48003,3.16731,0,0,37.51566,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0,0,0,0,1.38,17.63944,27.05811,4.30757,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5253,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50189
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.147,0,0,0.001898998,0,0,0.39036,0.012033232,0.008352417,0.011759562,0,0.82089
"18",0,0,0,0,0,0,0,0,0,0,0,0,90.546,127.724,597.774,163.858,22.094,15.272,85.409,138.55363,15.021811758,34.5534,85.41863,134.2688,158.342116118,660.272125474,282.730275016,172.179233305,91.845347371
"19",0,0,0,0,0,0,0,0,0,0,0,0,456.066,640.994,731.813,201.232,149.626,1032.265,278.338,673.45352,1866.25341,261.900451504,1331.99219,624.18892,450.221013592,1122.916559144,511.496609254,254.043299123,103.698401691
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,244.31,0.019,0,0.803,105.072,74.926,1.71861,1.4068,51.390007922,20.0407,59.88593,85.5243,7.838564314,33.80095,85.253502925,4.30579
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0,0,0,7.595,429.464,11340.27906,1883.49689,2067.2268,8648.11555,1562.20975,4930.05015,6724.79492,5476.8341,604.85887,9218.0358
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.679,2.242,5.354,2434.14696,1248.45815,40.39818,361.73301,0.17986,7.70823,18.09248,144.89067,7.75706,15.90769
"23",0,0,0,0,0,0,0,0,0,0,0,0,1.752,0,3297.745,178.864,431.76,65.663,0,1.41583,32.1565,25.70541,58.74132,2.12679,14.22427,4655.71991,1856.9657,438.16427,2096.62508
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505.979,1854.619,146.449,6.242,343.59,4.78372,124.77812,81.81271,34.44764,0,681.31561,759.43468,3747.58972,2891.07475,2163.53305
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.328,0,0,3.588,0,0,0,0,0,0,155.37027,63.9704,61.78519,69.16106,151.36198
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.038,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.308,0,0,0,0,0.012,0,0,0.000670536,0.01416,0.050915589,0.015920992,0.293870383
"28",0,0,0,0,0,0,0,0,0,0,0,0,3.529,0,0.956,1.795,1.461,0.029,0,0,0,1.814,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,402.269,460.901,293.451,999.588,1245.355,2314.957,89.501,342.556168342,24.983168648,867.471345369,46.674376313,211.348456799,42.286892092,54.212246747,54.859588502,33.234368259,40.258279712
"30",0,0,0,0,0,0,0,0,0,0,0,0,221.105,187.262,324.611,487.309,157.55,8185.007,3157.547,8533.380739237,2936.832982195,9119.365434771,1187.508852911,405.002013405,283.50687,69.144674648,95.346087601,69.578253441,44.843514917
"31",0,0,0,0,0,0,0,0,0,0,0,0,146.02,176.673,257.708,208.92,38.174,6016.965,6701.724,3442.748391886,3243.005098274,12969.659411822,1338.84709454,555.802620012,234.136926587,74.18159112,49.482866782,172.99990699,24.532026771
"32",0,0,0,0,0,0,0,0,0,0,0,0,0.001,6.718,5.323,0.446,0.359,331.696,5.07,6.9239223,70.512466599,36.41775,70.86327,36.311817918,149.36288,42.551294458,45.788036551,172.875750877,67.326484576
"33",0,0,0,0,0,0,0,0,0,0,0,0,2585.067,1854.194,798.525,2618.109,41.396,10412.796,7783.985,8018.0872,5065.97027,9262.99348,15460.07794,6473.95255,5332.48183,5400.29415,12346.160605016,4149.11843,2995.09256
"34",0,0,0,0,0,0,0,0,0,0,0,0,5577.888,72.442,0,22.471,674.729,2524.725,1546.697,890.49155,1777.78002,4672.24934,1639.97619,6363.97549,2732.31960541,3885.99444,1254.30041,535.60656,1723.23654
"35",0,0,0,0,0,0,0,0,0,0,0,0,774.432,2.534,981.109,860.358,815.022,67.833,0,5.09213,891.34832,1846.20854,128.30816,926.82608,1154.13941,4373.98393,333.83221,2407.77084,7853.71502
"36",0,0,0,0,0,0,0,0,0,0,0,0,260.127,129.228,4152.702,783.97,260.574,138.14,620.97,3012.48023,11449.96457,3111.69771,647.0348,464.00303,1458.78656,1718.12592,7515.55333,2856.02083,5918.91766
"37",0,0,0,0,0,0,0,0,0,0,0,0,1949.864,2980.961,669.77,1902.78,2758.103,2089.562,934.704,1036.25596,2717.09166,7719.22312,848.3531,1319.67671,1817.42618,1813.56055,1105.35054,1402.27993,2957.41404
"38",0,0,0,0,0,0,0,0,0,0,0,0,35.528,7.367,0,29.591,12.836,12.122,0,0,24.19387,19.60412,42.1204,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.088,0,0,0.000919953,0.000148413,0,0.002,0.160093945,0.035216364,0.923004691,0.02922152,0.075132164,0.896010941
"40",0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0.283,0,0.961,0,0,0.005061815,0,0.030685254,0.002326587,0,0.012,0.128858745,0.121071725,0,0.420679799
"41",0,0,0,0,0,0,0,0,0,0,0,0,0.807,4.106,2.359,0.763,0.119,2.237,0,0,0.00390136,0,0,0,0.343553351,2.677878674,0.881591652,0.262602746,3.988757345
"42",0,0,0,0,0,0,0,0,0,0,0,0,5.545,47.911,48.058,42.286,12.732,19.339,3.291,4.325793021,5.805318747,8.1791965,1.650535767,3.910725985,2.794091633,6.111382975,7.116063832,8.702210603,4.707062962
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0.895,0.243,0,0,0.006,0,0.003154179,0,0,0.034001866,0.033567146,3.658976128,0.250753882,0.236559718,2.235463428
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,106.969,323.484,218.522,263.501,175.056,225.562,22.323,31.799941341,20.112468183,75.656523984,17.712722212,20.769379053,12.178359144,18.563112337,80.289984754,106.511295083,51.263157282
"46",0,0,0,0,0,0,0,0,0,0,0,0,0.089,0.937,1.017,0.163,0.787,0.001,0,0,0,0,0.000515651,0.000141436,0,0.115884635,0.309346862,0.312557181,0.540835482
"47",0,0,0,0,0,0,0,0,0,0,0,0,46.099,132.605,52.983,165.402,30.583,46.018,746.351,63.996239591,72.582324549,701.402631773,403.354946073,23.97086166,16.415530841,1.259388565,15.665245036,16.585267136,2.340547979
"48",0,0,0,0,0,0,0,0,0,0,0,0,72.873,67.47,97.289,2410.75,924.758,6206.961,14460.251,3357.579968753,1766.450351839,1194.028647724,7548.33545,2631.059815856,1758.97293,293.373512307,5211.087441559,3081.369685068,199.749589218
"49",0,0,0,0,0,0,0,0,0,0,0,0,497.063,71.253,105.795,7522.259,6463.809,16541.216,4297.9,6998.75508,12648.27747,4887.89366,6329.5534,3525.072299432,5373.2019,7434.56768,7585.034389269,2274.985271478,2694.961515423
"50",0,0,0,0,0,0,0,0,0,0,0,0,2471.333,6113.462,1654.367,755.227,1130.291,12384.615,4150.856,657.37566,4513.59557,1513.21088,3779.08909,5361.25014,3009.38433,2149.22603,16847.60491,5164.64283,583.42337
"51",0,0,0,0,0,0,0,0,0,0,0,0,55.361,421.598,29.078,71.352,385.388,3379.125,11633.245,1865.92076,1519.33834,3139.28132,3472.07576,1398.81733,569.93475,3304.65031,5847.06815,756.29148,165.36169
"52",0,0,0,0,0,0,0,0,0,0,0,0,747.779,20.533,906.74,859.922,798.596,359.817,1180.568,156.89446,125.14912,461.82131,63.56974,206.85395,102.19235,1236.83594,66.74633,1501.10591,5688.96043
"53",0,0,0,0,0,0,0,0,0,0,0,0,998.127,155.82,761.25,234.621,30.594,150.779,11.368,567.02515,5888.54638,349.02812,1228.16082,7889.76528,86.9872,362.34964,2224.62434,2386.58813,213.26241
"54",0,0,0,0,0,0,0,0,0,0,0,0,2475.709,6704.053,486.408,508.444,2145.462,378.98,362.889,219.24587,4994.83155,4875.77384,1185.37232,4051.2566,1112.9084,1609.97945,200.05805,1878.96094,1943.73274
"55",0,0,0,0,0,0,0,0,0,0,0,0,1889.697,4606.457,130.841,1113.464,469.075,473.096,906.284,0,681.4248,563.1482,301.32385,460.12243,725.60771,363.87283,211.17511,1003.68855,514.20062
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0.002,0,0.000144043,0,0,0,0,0,0.002805791,0.231448633
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.003,0,0,0,0,0,0.000330087,0,0.032973821,0,0,0.229261659
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0.007667549,0,0,0,0.007153972,0,0.040131027,8.68e-06,0.032049765,1.017128029
"59",0,0,0,0,0,0,0,0,0,0,0,0,2.007,12.425,14.695,1.321,25.586,1.222,0.406,0.924442526,0.417691738,0.955727589,0.572574902,0.671764946,0.08713742,0.702619193,1.753199333,1.876618327,0.440162106
"60",0,0,0,0,0,0,0,0,0,0,0,0,1.29,5.87,0.952,0.754,3.059,0.032,0.135,0.053318329,0.025716724,1.416101683,0.067333101,0.59282,0.284005397,0.252575974,7.63667516,1.600599539,0.093715061
"61",0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0,0,0,0,0.000955163,0,0.004867758,0,0.045415399,0.009793335,0.369431714,7.81e-05,0.000614852,0.240091624
"62",0,0,0,0,0,0,0,0,0,0,0,0,16.885,99.259,27.077,25.593,6.23,2.698,2.837,1.886122333,1.198843607,3.318902483,1.560363956,2.38807846,2.592436788,2.899386052,6.356697449,4.776359672,9.071243543
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,4.914,42.912,5.398,12.003,1.157,0.53,2.54,0.51352424,0.946822741,0.591919665,7.293370019,0.79539479,0.191583291,0.136883987,0.328978282,1.8770004,0.082147816
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,1.879,9.038,1.545,2.197,2.819,5.979,1254.208,0.17593,3.796108995,585.191268073,6.979246242,2.098678133,1.20637,3.423117382,4.293765443,4.7396334,0.145058061
"67",0,0,0,0,0,0,0,0,0,0,0,0,31.821,38.492,75.246,1173.207,1550.275,5178.971,10811.924,3143.47755,5369.526747185,2887.5982407,4053.642933106,822.603866796,728.3558,102.468096907,1208.112098321,3907.212065383,119.52598733
"68",0,0,0,0,0,0,0,0,0,0,0,0,250.528,357.758,472.636,7661.635,6673.498,7057.847,1673.005,14673.51195,18566.29554,3412.00785,6862.66821,13230.777258855,3286.64882957,11180.810671947,2843.104389889,5280.01699,1669.382350019
"69",0,0,0,0,0,0,0,0,0,0,0,0,4163.056,5314.948,6436.451,3385.322,1306.849,3757.882,266.792,1056.65895,12483.61668,3754.80703,654.6581,7042.73153,5137.58207,9237.67215,5365.85885,4561.07646,1019.12155
"70",0,0,0,0,0,0,0,0,0,0,0,0,3367.169,3587.069,3920.351,2613.809,313.188,1485.735,2096.083,1695.04979,1649.20736,6318.52188,732.65619,2808.76087,1219.36947,2438.238248115,12203.01222,2370.98451,118.75275
"71",0,0,0,0,0,0,0,0,0,0,0,0,68.769,87.083,71.725,675.772,436.347,308.156,3281.1,167.68857,53.09095,681.68661,19.68068,12.20388,20.44556,1175.02387,29.08901,210.45821,1805.7401
"72",0,0,0,0,0,0,0,0,0,0,0,0,116.462,0,6.105,1713.077,1880.273,148.895,1085.026,180.61956,1504.34587,6.86592,2.46515,0,32.71993,536.83501,5.22794,3906.40396,1104.73718
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,31.328,0,5.133,2.447,22.116,0,1.72639,274.88429,17.61717,3.97879,0,29.62985,165.42179,2.4874,6639.3493,802.37851
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21424,0,0,0,0,0,0.60641,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0.004,0.038,0.001,0,0,0,0.001,0,0,0,0.000427616,0.00346671,0.003318198,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,7.72e-05
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.002,0,0,0.001332954,0,0,0,0,0.237957938,0.003833057,0.001845063
"78",0,0,0,0,0,0,0,0,0,0,0,0,0.021,1.058,43.774,0.036,0.764,0.24,0.218,0.17420553,0.170349828,1.192301391,0.935435075,0.32481,0.02128,0.329493931,0.39219236,0.19609,5.676422395
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.066,0,0,7.28e-05,0,0.063947081,0,0.083189577,0,0.040195979,0.619394157,0.21807238,0.2024998
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0.004747293,0,0.275755979,0,0.010273124,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.025,0.664,0.217,0.127,0.011,0.041,3.63e-05,0.02423,0.513801437,0.013897412,0.114532114,0.1628,0.644059073,1.476506024,0,0
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.007,0,0,0,3e-04,0.041,0.0151353,0.004974777,0.56862,1.662608288,0.012323189,0,0.005761426
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0.226,0.005,0.004,0.00691,0.11797,0.00274,0.72219,0,0.003245435,0.191255611,0.15931907,0
