"","Year","Peel","SSB","SSB_sd","Totbio","Totbio_sd","Rec","Rec_sd"
"1",1954,0,983.206,125.389,2536.85,152.344,2.03068,0.289828
"2",1955,0,992.755,118.511,2488.14,136.84,1.67722,0.221808
"3",1956,0,983.94,109.889,2431.96,121.263,1.33481,0.314197
"4",1957,0,959.738,100.444,2370.51,105.574,3.85765,0.634543
"5",1958,0,923.502,90.7716,2326.45,89.13,2.60008,0.218711
"6",1959,0,848.184,79.339,2282.62,72.3115,1.96107,0.143452
"7",1960,0,664.81,62.6661,2110.56,56.3758,1.83877,0.132277
"8",1961,0,373.562,46.5419,1679.02,40.2544,1.07611,0.10075
"9",1962,0,110.942,20.8366,1187.29,24.9586,2.05133,0.138804
"10",1963,0,113.844,9.60124,872.416,17.1625,1.05325,0.100887
"11",1964,0,130.479,8.94379,900.207,17.3975,0.960409,0.0947863
"12",1965,0,146.361,10.6532,869.719,17.4356,1.28726,0.1133
"13",1966,0,164.297,12.234,914.888,18.3562,1.37226,0.128042
"14",1967,0,164.899,11.5477,901.885,19.1049,2.90606,0.210229
"15",1968,0,163.127,10.36,831.799,19.5961,4.5303,0.279503
"16",1969,0,156.138,10.5832,875.454,22.1184,4.68803,0.289793
"17",1970,0,118.771,8.18797,863.922,25.082,6.19672,0.341476
"18",1971,0,92.9065,7.18483,953.394,30.0548,6.89334,0.360654
"19",1972,0,65.2368,7.2687,1054.76,36.1781,5.42198,0.307709
"20",1973,0,70.9703,7.61924,1350.92,44.4198,3.75451,0.242117
"21",1974,0,85.628,8.18518,1646.8,53.2557,5.04124,0.279176
"22",1975,0,138.707,11.1777,2045.47,64.3255,5.90777,0.300181
"23",1976,0,207.854,13.8093,2403.61,74.429,3.87535,0.230617
"24",1977,0,314.518,17.732,2762.35,84.0554,4.87078,0.263857
"25",1978,0,452.384,22.3897,3101.95,93.0709,3.18866,0.203592
"26",1979,0,598.613,27.569,3297.12,100.541,2.04125,0.15761
"27",1980,0,762.828,33.122,3509.47,107.164,3.96595,0.229087
"28",1981,0,917.815,38.4634,3699.59,112.708,2.97863,0.19418
"29",1982,0,1007.73,41.2295,3832.53,115.86,8.66761,0.384688
"30",1983,0,1136.27,45.2648,3806.4,116.474,1.60563,0.137524
"31",1984,0,1240.1,48.4835,4072.61,124.485,7.18288,0.335657
"32",1985,0,1307.56,51.7518,4096.1,128.345,2.48808,0.172341
"33",1986,0,1303.73,53.2881,3790.19,124.435,1.91265,0.146866
"34",1987,0,1307.43,55.3225,3771.37,128.08,2.6168,0.173111
"35",1988,0,1246.45,54.7981,3666.8,127.536,3.59439,0.208937
"36",1989,0,1222.42,55.7807,3753.52,133.886,3.60039,0.208488
"37",1990,0,1238.4,56.6648,3602.11,131.216,1.79928,0.13801
"38",1991,0,1334.21,59.4869,3730.13,134.89,2.02328,0.148716
"39",1992,0,1436.67,62.6695,3965.21,142.18,4.49198,0.246079
"40",1993,0,1492.12,64.9697,4039.59,145.578,2.67733,0.178643
"41",1994,0,1498.45,65.259,4087.32,147.069,2.25412,0.161552
"42",1995,0,1499.64,65.9456,3825.07,141.189,2.26038,0.161934
"43",1996,0,1418.78,63.5043,3719.15,138.595,5.55765,0.286572
"44",1997,0,1377.52,62.6793,3754.1,140.521,2.39729,0.166795
"45",1998,0,1294.9,60.5797,3429.78,133.039,1.98693,0.147716
"46",1999,0,1278.46,60.2193,3198.05,126.871,2.42631,0.163821
"47",2000,0,1257.9,59.5916,3241.81,127.012,3.39985,0.201224
"48",2001,0,1247.97,59.0179,3140.27,123.928,2.20477,0.154785
"49",2002,0,1242.11,58.5843,3175.14,123.96,2.97305,0.18898
"50",2003,0,1249.84,58.3282,3407.81,130.668,2.86234,0.187716
"51",2004,0,1286.43,59.1107,3644.53,137.854,4.41467,0.255297
"52",2005,0,1307.65,59.4476,3755.04,141.061,2.00088,0.157123
"53",2006,0,1339.03,60.5034,3736.18,141.065,2.26894,0.17764
"54",2007,0,1352.07,61.1611,3737.97,142.412,2.74312,0.21115
"55",2008,0,1325.44,60.8888,3575.6,139.144,2.5028,0.207941
"56",2009,0,1279.93,60.0118,3356.4,134.888,3.05334,0.250851
"57",2010,0,1251.07,59.3454,3388.92,137.852,4.29968,0.349227
"58",2011,0,1221.01,58.6369,3389.19,140.398,1.52145,0.189145
"59",2012,0,1196.72,58.6319,3330.66,142.384,0.74206,0.135725
"60",2013,0,1180.86,59.2682,3233.73,143.154,1.98602,0.283518
"61",2014,0,1128.57,59.0027,2970.77,137.443,2.09439,0.351939
"62",2015,0,1116.14,60.3692,2955.85,142.779,3.60501,0.68284
"63",2016,0,1112.98,61.9699,3084.58,154.626,5.40044,1.35901
"64",2017,0,1084.3,62.5832,3004.44,158.807,7.50169,2.81882
"65",2018,0,1082.04,64.5243,3106.79,175.634,2.52027,1.66706
"66",2019,0,1095.75,67.6063,3222.49,202.594,2.74602,1.93871
"67",2020,0,1082.02,69.7454,3270.11,231.527,2.77726,1.98075
"68",1954,1,983.784,125.371,2538.25,151.795,2.02736,0.289325
"69",1955,1,993.349,118.479,2489.64,136.257,1.67493,0.221447
"70",1956,1,984.544,109.841,2433.48,120.654,1.32915,0.313589
"71",1957,1,960.348,100.381,2371.93,104.973,3.82861,0.626317
"72",1958,1,924.116,90.6945,2327.54,88.6007,2.57483,0.216209
"73",1959,1,848.846,79.2434,2283.08,71.9193,1.94208,0.142041
"74",1960,1,665.735,62.5292,2110.07,56.1548,1.82004,0.131224
"75",1961,1,375.128,46.1559,1677.27,40.1679,1.06757,0.099987
"76",1962,1,111.061,20.8011,1183.95,24.9272,2.04195,0.1375
"77",1963,1,113.647,9.58035,867.978,17.1307,1.0776,0.103465
"78",1964,1,130.167,8.90707,895.128,17.4277,0.997563,0.0977888
"79",1965,1,145.693,10.5879,864.53,17.5168,1.30794,0.115684
"80",1966,1,163.174,12.1233,910.048,18.4529,1.35986,0.127309
"81",1967,1,163.099,11.4161,897.729,19.1812,2.90063,0.210058
"82",1968,1,160.456,10.2298,828.394,19.6191,4.5206,0.279109
"83",1969,1,153.044,10.4703,872.649,22.0607,4.68013,0.289459
"84",1970,1,117.19,7.94461,863.159,24.917,6.18648,0.340971
"85",1971,1,101.812,6.9005,953.169,29.8337,6.88173,0.360138
"86",1972,1,85.2516,7.1702,1057.03,36.0591,5.41386,0.307323
"87",1973,1,89.1226,8.06736,1351.68,44.3074,3.74959,0.241838
"88",1974,1,100.383,8.90171,1644.96,53.2332,5.03503,0.278881
"89",1975,1,154.637,12.0964,2046.24,64.4387,5.90028,0.299853
"90",1976,1,221.796,14.7561,2403.85,74.5231,3.87021,0.230337
"91",1977,1,326.364,18.623,2762.23,84.1324,4.86439,0.263546
"92",1978,1,462.256,23.1249,3101.44,93.1291,3.18533,0.203376
"93",1979,1,606.561,28.1459,3296.38,100.583,2.03909,0.157441
"94",1980,1,769.504,33.584,3508.71,107.197,3.9614,0.228841
"95",1981,1,923.135,38.8243,3698.54,112.725,2.97531,0.193976
"96",1982,1,1012.02,41.5096,3831.22,115.864,8.65799,0.384336
"97",1983,1,1139.82,45.4951,3805.3,116.484,1.60385,0.137376
"98",1984,1,1242.61,48.6569,4071.18,124.482,7.17466,0.335327
"99",1985,1,1309.19,51.8807,4094.55,128.333,2.48534,0.172159
"100",1986,1,1304.71,53.3811,3788.73,124.42,1.9106,0.14671
"101",1987,1,1307.89,55.3859,3769.76,128.055,2.61382,0.172919
"102",1988,1,1246.56,54.8419,3665.27,127.51,3.58997,0.208695
"103",1989,1,1222.21,55.8061,3751.87,133.852,3.59582,0.208237
"104",1990,1,1237.93,56.6767,3600.53,131.181,1.79692,0.137831
"105",1991,1,1333.45,59.4863,3728.51,134.851,2.02055,0.148523
"106",1992,1,1435.64,62.6579,3963.39,142.133,4.48604,0.245783
"107",1993,1,1490.92,64.9483,4037.71,145.527,2.6739,0.178426
"108",1994,1,1497.14,65.2308,4085.38,147.015,2.25122,0.161362
"109",1995,1,1498.24,65.9103,3823.31,141.136,2.2575,0.161737
"110",1996,1,1417.41,63.466,3717.41,138.542,5.55022,0.28623
"111",1997,1,1376.15,62.6375,3752.18,140.465,2.39423,0.166588
"112",1998,1,1293.54,60.5357,3428,132.986,1.98445,0.147533
"113",1999,1,1277.04,60.1723,3196.39,126.82,2.42326,0.163613
"114",2000,1,1256.45,59.5427,3240.05,126.96,3.39519,0.200945
"115",2001,1,1246.47,58.9671,3138.59,123.877,2.20175,0.154566
"116",2002,1,1240.58,58.532,3173.41,123.907,2.9689,0.188715
"117",2003,1,1248.26,58.2748,3405.89,130.609,2.85834,0.187451
"118",2004,1,1284.76,59.0556,3642.34,137.786,4.40794,0.25492
"119",2005,1,1305.93,59.3911,3752.75,140.988,1.99763,0.156863
"120",2006,1,1337.23,60.4444,3733.82,140.988,2.26479,0.177315
"121",2007,1,1350.23,61.1,3735.56,142.331,2.73773,0.210776
"122",2008,1,1323.62,60.826,3573.25,139.065,2.4976,0.207561
"123",2009,1,1278.15,59.9474,3354.15,134.811,3.04592,0.250323
"124",2010,1,1249.3,59.2795,3386.42,137.771,4.28658,0.348324
"125",2011,1,1219.24,58.5692,3386.5,140.314,1.51626,0.188542
"126",2012,1,1194.95,58.5614,3327.77,142.298,0.739693,0.135279
"127",2013,1,1179.05,59.1947,3230.63,143.067,1.97832,0.282602
"128",2014,1,1126.76,58.9274,2967.64,137.369,2.04082,0.358776
"129",2015,1,1114.26,60.2901,2952.29,142.707,3.58703,0.679951
"130",2016,1,1111.01,61.8877,3079.15,154.578,5.3757,1.35325
"131",2017,1,1082.26,62.5,2998.13,158.783,7.47783,2.80961
"132",2018,1,1079.85,64.4397,3099,175.625,2.51574,1.6639
"133",2019,1,1093.32,67.5186,3213.74,202.521,2.74164,1.93562
"134",1954,2,828.28,99.7955,2163.77,105.005,2.7885,0.421726
"135",1955,2,835.823,93.8167,2144.61,92.7222,2.11173,0.278847
"136",1956,2,827.626,86.3995,2129.61,82.3718,1.51985,0.278373
"137",1957,2,806.201,78.3045,2117.73,74.2815,4.37225,0.734319
"138",1958,2,774.724,70.0351,2128.06,66.6768,2.79444,0.336805
"139",1959,2,706.451,59.8546,2139.55,58.0173,2.02142,0.179096
"140",1960,2,528.438,42.9195,2019.78,48.3163,1.85999,0.14114
"141",1961,2,150.801,41.0522,1635.99,36.5696,1.07957,0.101796
"142",1962,2,85.6628,21.6465,1201.76,26.6788,2.0536,0.139358
"143",1963,2,70.5411,13.356,853.972,18.0721,1.05261,0.100813
"144",1964,2,83.4115,12.424,888.403,17.9145,0.95963,0.094694
"145",1965,2,98.104,12.7606,862.005,17.6229,1.28603,0.113165
"146",1966,2,120.913,14.234,909.378,18.5007,1.36987,0.127764
"147",1967,2,133.772,14.0406,898.593,19.1665,2.89891,0.209677
"148",1968,2,142.972,12.837,830.034,19.6057,4.51607,0.278693
"149",1969,2,143.373,12.8483,873.978,22.1015,4.6707,0.288939
"150",1970,2,112.203,8.98492,862.465,25.0428,6.17134,0.340489
"151",1971,2,89.7971,7.35067,951.375,30.0009,6.86271,0.359603
"152",1972,2,63.6363,7.21162,1051.81,36.1141,5.39625,0.306694
"153",1973,2,69.7943,7.5308,1346.62,44.352,3.73593,0.241204
"154",1974,2,84.6863,8.09466,1640.92,53.1871,5.01611,0.278231
"155",1975,2,137.618,11.0815,2037.49,64.2542,5.88046,0.299343
"156",1976,2,206.582,13.7198,2393.71,74.3679,3.85897,0.229959
"157",1977,2,312.857,17.6477,2750.51,84.0072,4.85014,0.263213
"158",1978,2,450.111,22.3135,3088.19,93.0375,3.17503,0.202978
"159",1979,2,595.542,27.5032,3281.64,100.52,2.03225,0.157049
"160",1980,2,758.805,33.0694,3492.45,107.159,3.94753,0.228392
"161",1981,2,912.798,38.4258,3681.24,112.719,2.9643,0.193511
"162",1982,2,1002.04,41.2047,3813.27,115.906,8.624,0.384047
"163",1983,2,1129.71,45.2531,3786.87,116.527,1.59774,0.136943
"164",1984,2,1232.75,48.4858,4051.31,124.573,7.1448,0.334927
"165",1985,2,1299.49,51.7637,4073.97,128.447,2.47487,0.171655
"166",1986,2,1295.22,53.3049,3768.49,124.536,1.90222,0.146228
"167",1987,2,1298.45,55.3434,3748.81,128.194,2.60139,0.1724
"168",1988,2,1237.44,54.8216,3644.06,127.655,3.57168,0.208163
"169",1989,2,1213.13,55.8072,3729.24,134.026,3.57602,0.207705
"170",1990,2,1228.86,56.7001,3578.11,131.357,1.78648,0.137273
"171",1991,2,1324.1,59.5371,3705.15,135.051,2.00777,0.147926
"172",1992,2,1425.9,62.735,3938.45,142.381,4.45432,0.245365
"173",1993,2,1480.88,65.0449,4011.52,145.82,2.65374,0.177833
"174",1994,2,1487.05,65.3415,4058.05,147.369,2.23293,0.160734
"175",1995,2,1488.01,66.033,3796.77,141.477,2.23831,0.16113
"176",1996,2,1407.44,63.5918,3690.37,138.941,5.49969,0.286617
"177",1997,2,1366.12,62.7722,3723.74,140.963,2.37123,0.166069
"178",1998,2,1283.62,60.6745,3400.31,133.498,1.96422,0.146978
"179",1999,2,1266.98,60.326,3169.53,127.335,2.39728,0.163259
"180",2000,2,1246.3,59.7113,3211.85,127.613,3.35703,0.201174
"181",2001,2,1236.12,59.1589,3110.31,124.576,2.17853,0.155835
"182",2002,2,1230,58.7491,3143.96,124.752,2.9565,0.19184
"183",2003,2,1237.29,58.5304,3373.24,131.72,2.85359,0.191441
"184",2004,2,1273.13,59.3657,3607.12,139.207,4.45332,0.263772
"185",2005,2,1293.71,59.7584,3716.79,142.664,1.97772,0.16069
"186",2006,2,1324.21,60.8811,3698.27,142.832,2.26724,0.184509
"187",2007,2,1336.45,61.6103,3701.35,144.352,2.82371,0.225375
"188",2008,2,1309.23,61.4102,3542.41,141.134,2.62089,0.227159
"189",2009,2,1263.37,60.6008,3324.67,136.904,3.06575,0.271216
"190",2010,2,1234.38,60.0016,3363.09,139.896,4.38533,0.388407
"191",2011,2,1204.57,59.3773,3367.46,142.529,1.49638,0.210306
"192",2012,2,1181.04,59.4731,3315.27,144.643,0.800061,0.164633
"193",2013,2,1166.52,60.2232,3224.51,145.473,2.06289,0.365478
"194",2014,2,1115.73,60.0335,2971.64,139.987,3.20961,0.637979
"195",2015,2,1105.11,61.4795,2971.74,145.98,4.82471,1.28842
"196",2016,2,1105.1,63.1376,3128.91,159.952,3.64571,1.81263
"197",2017,2,1079.89,63.7756,3044.96,164.709,2.52744,1.68023
"198",2018,2,1081.5,65.7541,3143.73,184.644,2.75968,1.95172
"199",1954,3,826.812,99.7043,2159.87,104.995,2.78693,0.420058
"200",1955,3,834.335,93.7421,2141.2,92.7064,2.11134,0.277167
"201",1956,3,826.145,86.3428,2126.68,82.3156,1.51627,0.27824
"202",1957,3,804.75,78.2653,2115.23,74.1638,4.34861,0.728648
"203",1958,3,773.325,70.0114,2125.83,66.515,2.76788,0.330869
"204",1959,3,705.178,59.8402,2137.34,57.8632,1.99889,0.17497
"205",1960,3,527.535,42.885,2017.27,48.223,1.83807,0.138881
"206",1961,3,150.617,40.9227,1632.89,36.5376,1.06966,0.100761
"207",1962,3,85.6569,21.6462,1197.78,26.6003,2.04022,0.137637
"208",1963,3,70.326,13.3509,848.928,18.0321,1.07485,0.103153
"209",1964,3,82.9578,12.4022,882.688,17.9224,0.994734,0.0974613
"210",1965,3,97.2817,12.702,856.138,17.6747,1.3026,0.115081
"211",1966,3,119.647,14.1277,903.827,18.5578,1.35127,0.126343
"212",1967,3,131.888,13.8764,893.626,19.1904,2.87629,0.208203
"213",1968,3,140.269,12.6203,825.567,19.5582,4.47713,0.276639
"214",1969,3,140.312,12.6032,869.604,21.9525,4.63107,0.286917
"215",1970,3,110.758,8.62678,859.263,24.7596,6.11715,0.338192
"216",1971,3,98.5017,7.03002,947.395,29.6398,6.80081,0.357314
"217",1972,3,83.1085,7.09434,1048.47,35.8393,5.34741,0.304656
"218",1973,3,87.3938,7.92302,1339.58,44.085,3.70182,0.23945
"219",1974,3,98.7767,8.73996,1628.85,53.0222,4.97148,0.276456
"220",1975,3,152.477,11.9149,2025.03,64.2418,5.83061,0.29767
"221",1976,3,218.892,14.5726,2377.93,74.3645,3.82815,0.228613
"222",1977,3,322.184,18.4339,2731.67,84.0227,4.81084,0.261798
"223",1978,3,456.251,22.9379,3066.37,93.0765,3.14969,0.20173
"224",1979,3,598.295,27.972,3257.44,100.584,2.01606,0.155982
"225",1980,3,758.649,33.4363,3466.32,107.259,3.91262,0.226957
"226",1981,3,909.665,38.7114,3653.24,112.849,2.93607,0.192089
"227",1982,3,996.879,41.4309,3783.87,116.092,8.53611,0.382291
"228",1983,3,1122.5,45.4492,3757.49,116.738,1.58221,0.135754
"229",1984,3,1223.39,48.6485,4019.04,124.842,7.06941,0.333229
"230",1985,3,1288.23,51.8982,4040.48,128.741,2.44879,0.170253
"231",1986,3,1282.81,53.4147,3735.79,124.835,1.88266,0.145016
"232",1987,3,1284.93,55.4346,3714.49,128.512,2.5732,0.1711
"233",1988,3,1223.62,54.9021,3609.56,127.999,3.53057,0.206797
"234",1989,3,1198.63,55.8797,3692.16,134.428,3.53303,0.206407
"235",1990,3,1213.69,56.7747,3541.53,131.77,1.76425,0.13604
"236",1991,3,1307.62,59.6212,3667.1,135.517,1.98121,0.146647
"237",1992,3,1407.97,62.8306,3897.34,142.936,4.39238,0.244541
"238",1993,3,1461.88,65.1474,3968.57,146.484,2.61791,0.176928
"239",1994,3,1467.59,65.4525,4013.65,148.184,2.2034,0.159961
"240",1995,3,1468.01,66.1518,3754.12,142.282,2.2091,0.16058
"241",1996,3,1387.96,63.7166,3647.55,139.898,5.42652,0.28879
"242",1997,3,1346.53,62.914,3679.1,142.149,2.34034,0.166095
"243",1998,3,1264.34,60.8315,3357.49,134.743,1.93861,0.14698
"244",1999,3,1247.44,60.5134,3128.45,128.597,2.36692,0.164007
"245",2000,3,1226.65,59.9301,3170.16,129.196,3.35258,0.20676
"246",2001,3,1216.23,59.4298,3069.27,126.285,2.14321,0.158448
"247",2002,3,1209.88,59.0771,3103,126.809,2.96082,0.199001
"248",2003,3,1216.83,58.9504,3330.33,134.419,2.88517,0.200756
"249",2004,3,1251.99,59.914,3563.99,142.668,4.59996,0.283973
"250",2005,3,1272.15,60.4446,3677.29,146.813,2.01672,0.17196
"251",2006,3,1302.06,61.7321,3663.46,147.474,2.44877,0.208088
"252",2007,3,1313.98,62.6377,3674.81,149.579,3.14025,0.262533
"253",2008,3,1287.02,62.6205,3525.35,146.615,2.84576,0.266393
"254",2009,3,1241.93,61.9858,3313.54,142.616,3.32898,0.32778
"255",2010,3,1214.13,61.5701,3374.22,146.359,4.51673,0.453936
"256",2011,3,1186.4,61.1917,3393.18,149.737,1.49001,0.252297
"257",2012,3,1166.3,61.5962,3361.95,152.751,0.744891,0.217222
"258",2013,3,1157.14,62.7203,3294.15,154.575,2.83306,0.635754
"259",2014,3,1111.9,62.8176,3060.69,149.91,5.25362,1.44422
"260",2015,3,1110.09,64.6839,3084.11,157.668,4.58718,2.18859
"261",2016,3,1121.71,66.7803,3318.38,180.892,2.89488,1.97373
"262",2017,3,1107.54,67.7871,3254.05,192.071,2.78958,1.97401
"263",1954,4,990.047,126.19,2554.2,153.509,2.02966,0.28893
"264",1955,4,999.704,119.256,2504.02,137.838,1.66762,0.224409
"265",1956,4,990.884,110.567,2446.17,122.053,1.30517,0.320992
"266",1957,4,966.583,101.052,2382.7,106.111,3.79954,0.613772
"267",1958,4,930.162,91.3132,2336.14,89.4243,2.57899,0.214525
"268",1959,4,854.52,79.8201,2289.38,72.4326,1.9467,0.142324
"269",1960,4,670.588,63.0954,2114.11,56.4047,1.82377,0.131526
"270",1961,4,378.563,46.6648,1679.32,40.2383,1.06837,0.100065
"271",1962,4,112.07,21.0364,1184.49,24.9184,2.04033,0.137146
"272",1963,4,113.746,9.63479,868.044,17.0971,1.07373,0.102999
"273",1964,4,129.887,8.96349,895.171,17.3739,0.991714,0.0972355
"274",1965,4,145.276,10.6718,864.194,17.4337,1.29501,0.114146
"275",1966,4,162.72,12.1837,909.1,18.3317,1.33828,0.124797
"276",1967,4,162.787,11.4336,895.845,18.9954,2.84307,0.20482
"277",1968,4,160.339,10.2263,825.026,19.3231,4.4202,0.271424
"278",1969,4,152.978,10.4307,866.824,21.6197,4.56556,0.281066
"279",1970,4,116.886,7.88814,853.458,24.2422,6.02438,0.330613
"280",1971,4,101.104,6.79744,937.845,28.8691,6.69221,0.348672
"281",1972,4,84.0444,7.04149,1033.99,34.7143,5.25599,0.297221
"282",1973,4,87.3783,7.88736,1319.05,42.5582,3.63436,0.233718
"283",1974,4,97.8604,8.65838,1601.17,51.0323,4.87641,0.26901
"284",1975,4,150.361,11.7394,1988.63,61.69,5.71389,0.288983
"285",1976,4,215.292,14.289,2332.52,71.2406,3.74794,0.222325
"286",1977,4,316.495,18.0008,2676.95,80.3248,4.706,0.253933
"287",1978,4,447.785,22.2986,3002.16,88.8064,3.07902,0.195992
"288",1979,4,586.383,27.0831,3184.29,95.7887,1.96873,0.151697
"289",1980,4,742.881,32.2723,3384.57,101.977,3.81827,0.219699
"290",1981,4,890,37.2762,3563.49,107.132,2.86232,0.18601
"291",1982,4,974.556,39.8153,3686.98,110.004,8.31619,0.366744
"292",1983,4,1096.54,43.5837,3657.93,110.535,1.54029,0.131643
"293",1984,4,1193.85,46.5436,3908.47,118.011,6.88019,0.319718
"294",1985,4,1254.77,49.5369,3923.82,121.573,2.37945,0.164363
"295",1986,4,1246.4,50.8702,3620.39,117.739,1.82595,0.13994
"296",1987,4,1245.39,52.7008,3593.6,121.064,2.49235,0.164585
"297",1988,4,1182.82,52.1077,3485.8,120.413,3.41298,0.198151
"298",1989,4,1155.51,52.9532,3558.51,126.243,3.40538,0.197271
"299",1990,4,1168.66,53.7416,3408.19,123.645,1.69492,0.130104
"300",1991,4,1259.26,56.3781,3526.81,127.066,1.89653,0.139757
"301",1992,4,1355.78,59.3407,3746.09,133.925,4.18493,0.23155
"302",1993,4,1406.69,61.4764,3808.36,137.117,2.48284,0.167287
"303",1994,4,1411.07,61.7097,3844.93,138.596,2.08144,0.15087
"304",1995,4,1409.66,62.3112,3589.98,132.997,2.07743,0.151004
"305",1996,4,1330.5,59.9659,3479.2,130.671,5.081,0.270983
"306",1997,4,1288.12,59.1429,3500.62,132.722,2.18202,0.155274
"307",1998,4,1206.04,57.1147,3183.4,125.709,1.80002,0.137001
"308",1999,4,1187.75,56.7857,2959.6,119.947,2.22884,0.155918
"309",2000,4,1165.87,56.2198,2991.49,120.529,3.1128,0.195284
"310",2001,4,1153.63,55.7271,2889.61,117.813,1.98588,0.149762
"311",2002,4,1145.33,55.38,2914.03,118.349,2.75069,0.189236
"312",2003,4,1149.11,55.2415,3118.26,125.539,2.66433,0.190867
"313",2004,4,1179.32,56.1366,3328.58,133.377,4.30846,0.275101
"314",2005,4,1194.97,56.6313,3426.75,137.358,1.95065,0.172537
"315",2006,4,1219.19,57.8414,3406.36,138.075,2.39063,0.214547
"316",2007,4,1225.83,58.7029,3410.28,140.134,3.0159,0.272592
"317",2008,4,1194.61,58.702,3264.02,137.442,2.74745,0.280605
"318",2009,4,1146.7,58.1332,3055.22,133.803,2.97705,0.329244
"319",2010,4,1116.29,57.7771,3106.38,137.635,3.46482,0.416103
"320",2011,4,1085.6,57.4701,3113.24,141.119,1.12008,0.258082
"321",2012,4,1061.97,57.9053,3078.58,144.627,0.681455,0.254731
"322",2013,4,1049.49,59.0417,3003.8,146.976,1.96725,0.752302
"323",2014,4,1003.84,59.2548,2765.23,142.384,2.51839,1.35109
"324",2015,4,1001.1,61.2575,2754.38,149.477,2.34897,1.55588
"325",2016,4,1011.58,63.624,2873.85,168.499,2.55387,1.79899
"326",1954,5,994.331,126.591,2565.23,154.037,2.02543,0.289287
"327",1955,5,1004.04,119.617,2513.6,138.244,1.66356,0.225239
"328",1956,5,995.197,110.882,2454.2,122.359,1.29703,0.321216
"329",1957,5,970.806,101.322,2389.12,106.335,3.8005,0.609781
"330",1958,5,934.24,91.539,2340.94,89.5883,2.58551,0.215443
"331",1959,5,858.296,80.0097,2292.61,72.5534,1.94837,0.142505
"332",1960,5,673.55,63.2574,2115.87,56.4849,1.8219,0.131329
"333",1961,5,379.815,46.8203,1679.82,40.27,1.06409,0.09957
"334",1962,5,111.861,21.1566,1184.12,24.8688,2.0287,0.135783
"335",1963,5,113.547,9.65473,867.196,16.9947,1.07808,0.103386
"336",1964,5,129.527,8.98006,893.82,17.2473,1.00418,0.0974757
"337",1965,5,144.797,10.6994,862.355,17.2753,1.32491,0.114875
"338",1966,5,162.168,12.1738,906.988,18.1417,1.34174,0.125465
"339",1967,5,162.195,11.379,893.652,18.758,2.8417,0.201465
"340",1968,5,159.739,10.1514,822.796,18.998,4.35832,0.265315
"341",1969,5,152.264,10.3534,864.257,21.1797,4.50419,0.275425
