"","Year","Peel","SSB","SSB_sd","Totbio","Totbio_sd","Rec","Rec_sd","run"
"1",1954,0,965.158,125.231,2484.65,150.51,1.94993,0.302026,"yfs_retro"
"2",1955,0,974.459,118.628,2451.51,135.354,1.38866,0.358587,"yfs_retro"
"3",1956,0,965.754,110.28,2408.74,118.694,0.951048,0.21466,"yfs_retro"
"4",1957,0,941.927,101.091,2356.3,101.17,3.22487,0.360685,"yfs_retro"
"5",1958,0,906.162,91.643,2315.22,83.508,2.35051,0.189741,"yfs_retro"
"6",1959,0,832.051,80.3595,2268.91,66.9271,1.81088,0.132573,"yfs_retro"
"7",1960,0,652.714,63.4862,2090.6,52.5558,1.71342,0.122191,"yfs_retro"
"8",1961,0,361.924,44.4858,1649.19,38.3599,0.991699,0.0923027,"yfs_retro"
"9",1962,0,45.7095,21.9719,1140.42,24.7439,1.88664,0.125469,"yfs_retro"
"10",1963,0,11.8603,6.3099,801.564,16.2311,0.993851,0.0947979,"yfs_retro"
"11",1964,0,24.6204,8.90595,843.483,16.4884,0.920333,0.0889508,"yfs_retro"
"12",1965,0,48.3918,11.417,838.642,16.4293,1.19106,0.104112,"yfs_retro"
"13",1966,0,86.0209,13.4654,887.269,17.3219,1.21421,0.111661,"yfs_retro"
"14",1967,0,118.571,13.0219,876.553,17.9159,2.54748,0.175772,"yfs_retro"
"15",1968,0,139.155,12.5742,803.736,17.9078,3.89245,0.228124,"yfs_retro"
"16",1969,0,143.969,14.1444,838.578,19.7108,3.98456,0.235905,"yfs_retro"
"17",1970,0,113.134,9.29356,811.896,21.3468,5.25379,0.274496,"yfs_retro"
"18",1971,0,97.6957,7.05274,876.63,24.6442,5.8402,0.287899,"yfs_retro"
"19",1972,0,80.0979,6.66613,948.363,28.8037,4.59227,0.2477,"yfs_retro"
"20",1973,0,81.6196,7.21945,1203.68,34.7577,3.1814,0.197379,"yfs_retro"
"21",1974,0,90.6866,7.79174,1455.07,41.2423,4.27908,0.224891,"yfs_retro"
"22",1975,0,143.051,10.3837,1816.73,49.4961,5.02676,0.240132,"yfs_retro"
"23",1976,0,203.863,12.5575,2129.02,56.8596,3.30642,0.188317,"yfs_retro"
"24",1977,0,296.593,15.5959,2445.17,63.9194,4.16333,0.213705,"yfs_retro"
"25",1978,0,413.333,18.7956,2746.13,70.5373,2.72694,0.167584,"yfs_retro"
"26",1979,0,531.772,22.1104,2911.62,76.0391,1.74233,0.131091,"yfs_retro"
"27",1980,0,663.688,25.5796,3099.08,81.0066,3.37191,0.185276,"yfs_retro"
"28",1981,0,785.482,28.8775,3270.07,85.2298,2.51542,0.157599,"yfs_retro"
"29",1982,0,853.817,30.3351,3387.39,87.2945,7.2899,0.294529,"yfs_retro"
"30",1983,0,956.448,32.7034,3366.06,87.9943,1.34937,0.11289,"yfs_retro"
"31",1984,0,1037.19,34.4489,3597.53,93.7199,6.03681,0.260114,"yfs_retro"
"32",1985,0,1085.28,36.3109,3610.28,96.7305,2.08803,0.139733,"yfs_retro"
"33",1986,0,1072.29,37.061,3322.84,93.812,1.6038,0.119642,"yfs_retro"
"34",1987,0,1066.03,38.2882,3286.43,96.2225,2.19146,0.139631,"yfs_retro"
"35",1988,0,1008.21,37.8333,3191.39,96.2265,3.00491,0.166514,"yfs_retro"
"36",1989,0,981.091,38.46,3253.77,101.018,3.00665,0.166024,"yfs_retro"
"37",1990,0,992.275,38.9956,3118.97,99.3842,1.50318,0.112241,"yfs_retro"
"38",1991,0,1073.95,40.8247,3241.29,102.608,1.69057,0.1206,"yfs_retro"
"39",1992,0,1157.28,42.8702,3454.78,108.171,3.75504,0.194219,"yfs_retro"
"40",1993,0,1193.07,44.4143,3492.62,111.039,2.24147,0.143787,"yfs_retro"
"41",1994,0,1196.39,44.6169,3538.37,112.606,1.89179,0.131108,"yfs_retro"
"42",1995,0,1195.78,45.1612,3308.44,108.756,1.90407,0.131874,"yfs_retro"
"43",1996,0,1129.02,43.5523,3225.53,107.199,4.69665,0.226388,"yfs_retro"
"44",1997,0,1092.73,43.0576,3244.38,108.72,2.02933,0.136452,"yfs_retro"
"45",1998,0,1028.33,41.7323,2966.15,103.367,1.68411,0.121792,"yfs_retro"
"46",1999,0,1020.41,41.6128,2777.97,99.0144,2.06347,0.134772,"yfs_retro"
"47",2000,0,1007.34,41.294,2828.02,99.2569,2.89069,0.163908,"yfs_retro"
"48",2001,0,1003.53,40.9992,2751.65,97.331,1.87124,0.128846,"yfs_retro"
"49",2002,0,1002.12,40.7879,2793.39,97.5853,2.53639,0.156729,"yfs_retro"
"50",2003,0,1011.58,40.6868,3010.24,103.154,2.44556,0.156505,"yfs_retro"
"51",2004,0,1043.25,41.311,3222.04,108.976,3.81271,0.211775,"yfs_retro"
"52",2005,0,1059.98,41.6203,3326.66,111.979,1.68788,0.132496,"yfs_retro"
"53",2006,0,1081.37,42.4579,3299.88,112.236,1.92906,0.1516,"yfs_retro"
"54",2007,0,1087.17,43.0604,3295.22,113.786,2.3986,0.18453,"yfs_retro"
"55",2008,0,1062.84,43.0597,3144.84,111.689,2.2239,0.186737,"yfs_retro"
"56",2009,0,1027.08,42.6227,2961.96,108.8,2.59427,0.221578,"yfs_retro"
"57",2010,0,1002.26,42.3084,2991.29,111.189,3.69835,0.315401,"yfs_retro"
"58",2011,0,978.89,41.974,2997.54,113.581,1.26049,0.174601,"yfs_retro"
"59",2012,0,959.962,42.1801,2946.94,115.458,0.671084,0.137092,"yfs_retro"
"60",2013,0,947.229,42.875,2862.24,116.365,1.75547,0.292791,"yfs_retro"
"61",2014,0,901.37,42.9264,2637.93,112.885,2.64331,0.518386,"yfs_retro"
"62",2015,0,888.472,44.1982,2630.7,118.165,3.92014,1.03275,"yfs_retro"
"63",2016,0,884.057,45.6318,2754.15,129.367,3.02667,1.50122,"yfs_retro"
"64",2017,0,859.657,46.3463,2672.27,133.529,2.13396,1.41784,"yfs_retro"
"65",2018,0,855.966,48.0858,2748.76,150.23,2.33455,1.65124,"yfs_retro"
"66",2019,0,867.221,50.7065,2786.33,170.424,2.35635,1.68038,"yfs_retro"
"67",1954,1,965.158,125.231,2484.65,150.51,1.94993,0.302026,"yfs_retro"
"68",1955,1,974.459,118.628,2451.51,135.354,1.38866,0.358587,"yfs_retro"
"69",1956,1,965.754,110.28,2408.74,118.694,0.951048,0.21466,"yfs_retro"
"70",1957,1,941.927,101.091,2356.3,101.17,3.22487,0.360685,"yfs_retro"
"71",1958,1,906.162,91.643,2315.22,83.508,2.35051,0.189741,"yfs_retro"
"72",1959,1,832.051,80.3595,2268.91,66.9271,1.81088,0.132573,"yfs_retro"
"73",1960,1,652.714,63.4862,2090.6,52.5558,1.71342,0.122191,"yfs_retro"
"74",1961,1,361.924,44.4858,1649.19,38.3599,0.991699,0.0923027,"yfs_retro"
"75",1962,1,45.7095,21.9719,1140.42,24.7439,1.88664,0.125469,"yfs_retro"
"76",1963,1,11.8603,6.3099,801.564,16.2311,0.993851,0.0947979,"yfs_retro"
"77",1964,1,24.6204,8.90595,843.483,16.4884,0.920333,0.0889508,"yfs_retro"
"78",1965,1,48.3918,11.417,838.642,16.4293,1.19106,0.104112,"yfs_retro"
"79",1966,1,86.0209,13.4654,887.269,17.3219,1.21421,0.111661,"yfs_retro"
"80",1967,1,118.571,13.0219,876.553,17.9159,2.54748,0.175772,"yfs_retro"
"81",1968,1,139.155,12.5742,803.736,17.9078,3.89245,0.228124,"yfs_retro"
"82",1969,1,143.969,14.1444,838.578,19.7108,3.98456,0.235905,"yfs_retro"
"83",1970,1,113.134,9.29356,811.896,21.3468,5.25379,0.274496,"yfs_retro"
"84",1971,1,97.6957,7.05274,876.63,24.6442,5.8402,0.287899,"yfs_retro"
"85",1972,1,80.0979,6.66613,948.363,28.8037,4.59227,0.2477,"yfs_retro"
"86",1973,1,81.6196,7.21945,1203.68,34.7577,3.1814,0.197379,"yfs_retro"
"87",1974,1,90.6866,7.79174,1455.07,41.2423,4.27908,0.224891,"yfs_retro"
"88",1975,1,143.051,10.3837,1816.73,49.4961,5.02676,0.240132,"yfs_retro"
"89",1976,1,203.863,12.5575,2129.02,56.8596,3.30642,0.188317,"yfs_retro"
"90",1977,1,296.593,15.5959,2445.17,63.9194,4.16333,0.213705,"yfs_retro"
"91",1978,1,413.333,18.7956,2746.13,70.5373,2.72694,0.167584,"yfs_retro"
"92",1979,1,531.772,22.1104,2911.62,76.0391,1.74233,0.131091,"yfs_retro"
"93",1980,1,663.688,25.5796,3099.08,81.0066,3.37191,0.185276,"yfs_retro"
"94",1981,1,785.482,28.8775,3270.07,85.2298,2.51542,0.157599,"yfs_retro"
"95",1982,1,853.817,30.3351,3387.39,87.2945,7.2899,0.294529,"yfs_retro"
"96",1983,1,956.448,32.7034,3366.06,87.9943,1.34937,0.11289,"yfs_retro"
"97",1984,1,1037.19,34.4489,3597.53,93.7199,6.03681,0.260114,"yfs_retro"
"98",1985,1,1085.28,36.3109,3610.28,96.7305,2.08803,0.139733,"yfs_retro"
"99",1986,1,1072.29,37.061,3322.84,93.812,1.6038,0.119642,"yfs_retro"
"100",1987,1,1066.03,38.2882,3286.43,96.2225,2.19146,0.139631,"yfs_retro"
"101",1988,1,1008.21,37.8333,3191.39,96.2265,3.00491,0.166514,"yfs_retro"
"102",1989,1,981.091,38.46,3253.77,101.018,3.00665,0.166024,"yfs_retro"
"103",1990,1,992.275,38.9956,3118.97,99.3842,1.50318,0.112241,"yfs_retro"
"104",1991,1,1073.95,40.8247,3241.29,102.608,1.69057,0.1206,"yfs_retro"
"105",1992,1,1157.28,42.8702,3454.78,108.171,3.75504,0.194219,"yfs_retro"
"106",1993,1,1193.07,44.4143,3492.62,111.039,2.24147,0.143787,"yfs_retro"
"107",1994,1,1196.39,44.6169,3538.37,112.606,1.89179,0.131108,"yfs_retro"
"108",1995,1,1195.78,45.1612,3308.44,108.756,1.90407,0.131874,"yfs_retro"
"109",1996,1,1129.02,43.5523,3225.53,107.199,4.69665,0.226388,"yfs_retro"
"110",1997,1,1092.73,43.0576,3244.38,108.72,2.02933,0.136452,"yfs_retro"
"111",1998,1,1028.33,41.7323,2966.15,103.367,1.68411,0.121792,"yfs_retro"
"112",1999,1,1020.41,41.6128,2777.97,99.0144,2.06347,0.134772,"yfs_retro"
"113",2000,1,1007.34,41.294,2828.02,99.2569,2.89069,0.163908,"yfs_retro"
"114",2001,1,1003.53,40.9992,2751.65,97.331,1.87124,0.128846,"yfs_retro"
"115",2002,1,1002.12,40.7879,2793.39,97.5853,2.53639,0.156729,"yfs_retro"
"116",2003,1,1011.58,40.6868,3010.24,103.154,2.44556,0.156505,"yfs_retro"
"117",2004,1,1043.25,41.311,3222.04,108.976,3.81271,0.211775,"yfs_retro"
"118",2005,1,1059.98,41.6203,3326.66,111.979,1.68788,0.132496,"yfs_retro"
"119",2006,1,1081.37,42.4579,3299.88,112.236,1.92906,0.1516,"yfs_retro"
"120",2007,1,1087.17,43.0604,3295.22,113.786,2.3986,0.18453,"yfs_retro"
"121",2008,1,1062.84,43.0597,3144.84,111.689,2.2239,0.186737,"yfs_retro"
"122",2009,1,1027.08,42.6227,2961.96,108.8,2.59427,0.221578,"yfs_retro"
"123",2010,1,1002.26,42.3084,2991.29,111.189,3.69835,0.315401,"yfs_retro"
"124",2011,1,978.89,41.974,2997.54,113.581,1.26049,0.174601,"yfs_retro"
"125",2012,1,959.962,42.1801,2946.94,115.458,0.671084,0.137092,"yfs_retro"
"126",2013,1,947.229,42.875,2862.24,116.365,1.75547,0.292791,"yfs_retro"
"127",2014,1,901.37,42.9264,2637.93,112.885,2.64331,0.518386,"yfs_retro"
"128",2015,1,888.472,44.1982,2630.7,118.165,3.92014,1.03275,"yfs_retro"
"129",2016,1,884.057,45.6318,2754.15,129.367,3.02667,1.50122,"yfs_retro"
"130",2017,1,859.657,46.3463,2672.27,133.529,2.13396,1.41784,"yfs_retro"
"131",2018,1,855.966,48.0858,2748.76,150.23,2.33455,1.65124,"yfs_retro"
"132",2019,1,867.221,50.7065,2786.33,170.424,2.35635,1.68038,"yfs_retro"
"133",1954,2,965.158,125.231,2484.65,150.51,1.94993,0.302026,"yfs_retro"
"134",1955,2,974.459,118.628,2451.51,135.354,1.38866,0.358587,"yfs_retro"
"135",1956,2,965.754,110.28,2408.74,118.694,0.951048,0.21466,"yfs_retro"
"136",1957,2,941.927,101.091,2356.3,101.17,3.22487,0.360685,"yfs_retro"
"137",1958,2,906.162,91.643,2315.22,83.508,2.35051,0.189741,"yfs_retro"
"138",1959,2,832.051,80.3595,2268.91,66.9271,1.81088,0.132573,"yfs_retro"
"139",1960,2,652.714,63.4862,2090.6,52.5558,1.71342,0.122191,"yfs_retro"
"140",1961,2,361.924,44.4858,1649.19,38.3599,0.991699,0.0923027,"yfs_retro"
"141",1962,2,45.7095,21.9719,1140.42,24.7439,1.88664,0.125469,"yfs_retro"
"142",1963,2,11.8603,6.3099,801.564,16.2311,0.993851,0.0947979,"yfs_retro"
"143",1964,2,24.6204,8.90595,843.483,16.4884,0.920333,0.0889508,"yfs_retro"
"144",1965,2,48.3918,11.417,838.642,16.4293,1.19106,0.104112,"yfs_retro"
"145",1966,2,86.0209,13.4654,887.269,17.3219,1.21421,0.111661,"yfs_retro"
"146",1967,2,118.571,13.0219,876.553,17.9159,2.54748,0.175772,"yfs_retro"
"147",1968,2,139.155,12.5742,803.736,17.9078,3.89245,0.228124,"yfs_retro"
"148",1969,2,143.969,14.1444,838.578,19.7108,3.98456,0.235905,"yfs_retro"
"149",1970,2,113.134,9.29356,811.896,21.3468,5.25379,0.274496,"yfs_retro"
"150",1971,2,97.6957,7.05274,876.63,24.6442,5.8402,0.287899,"yfs_retro"
"151",1972,2,80.0979,6.66613,948.363,28.8037,4.59227,0.2477,"yfs_retro"
"152",1973,2,81.6196,7.21945,1203.68,34.7577,3.1814,0.197379,"yfs_retro"
"153",1974,2,90.6866,7.79174,1455.07,41.2423,4.27908,0.224891,"yfs_retro"
"154",1975,2,143.051,10.3837,1816.73,49.4961,5.02676,0.240132,"yfs_retro"
"155",1976,2,203.863,12.5575,2129.02,56.8596,3.30642,0.188317,"yfs_retro"
"156",1977,2,296.593,15.5959,2445.17,63.9194,4.16333,0.213705,"yfs_retro"
"157",1978,2,413.333,18.7956,2746.13,70.5373,2.72694,0.167584,"yfs_retro"
"158",1979,2,531.772,22.1104,2911.62,76.0391,1.74233,0.131091,"yfs_retro"
"159",1980,2,663.688,25.5796,3099.08,81.0066,3.37191,0.185276,"yfs_retro"
"160",1981,2,785.482,28.8775,3270.07,85.2298,2.51542,0.157599,"yfs_retro"
"161",1982,2,853.817,30.3351,3387.39,87.2945,7.2899,0.294529,"yfs_retro"
"162",1983,2,956.448,32.7034,3366.06,87.9943,1.34937,0.11289,"yfs_retro"
"163",1984,2,1037.19,34.4489,3597.53,93.7199,6.03681,0.260114,"yfs_retro"
"164",1985,2,1085.28,36.3109,3610.28,96.7305,2.08803,0.139733,"yfs_retro"
"165",1986,2,1072.29,37.061,3322.84,93.812,1.6038,0.119642,"yfs_retro"
"166",1987,2,1066.03,38.2882,3286.43,96.2225,2.19146,0.139631,"yfs_retro"
"167",1988,2,1008.21,37.8333,3191.39,96.2265,3.00491,0.166514,"yfs_retro"
"168",1989,2,981.091,38.46,3253.77,101.018,3.00665,0.166024,"yfs_retro"
"169",1990,2,992.275,38.9956,3118.97,99.3842,1.50318,0.112241,"yfs_retro"
"170",1991,2,1073.95,40.8247,3241.29,102.608,1.69057,0.1206,"yfs_retro"
"171",1992,2,1157.28,42.8702,3454.78,108.171,3.75504,0.194219,"yfs_retro"
"172",1993,2,1193.07,44.4143,3492.62,111.039,2.24147,0.143787,"yfs_retro"
"173",1994,2,1196.39,44.6169,3538.37,112.606,1.89179,0.131108,"yfs_retro"
"174",1995,2,1195.78,45.1612,3308.44,108.756,1.90407,0.131874,"yfs_retro"
"175",1996,2,1129.02,43.5523,3225.53,107.199,4.69665,0.226388,"yfs_retro"
"176",1997,2,1092.73,43.0576,3244.38,108.72,2.02933,0.136452,"yfs_retro"
"177",1998,2,1028.33,41.7323,2966.15,103.367,1.68411,0.121792,"yfs_retro"
"178",1999,2,1020.41,41.6128,2777.97,99.0144,2.06347,0.134772,"yfs_retro"
"179",2000,2,1007.34,41.294,2828.02,99.2569,2.89069,0.163908,"yfs_retro"
"180",2001,2,1003.53,40.9992,2751.65,97.331,1.87124,0.128846,"yfs_retro"
"181",2002,2,1002.12,40.7879,2793.39,97.5853,2.53639,0.156729,"yfs_retro"
"182",2003,2,1011.58,40.6868,3010.24,103.154,2.44556,0.156505,"yfs_retro"
"183",2004,2,1043.25,41.311,3222.04,108.976,3.81271,0.211775,"yfs_retro"
"184",2005,2,1059.98,41.6203,3326.66,111.979,1.68788,0.132496,"yfs_retro"
"185",2006,2,1081.37,42.4579,3299.88,112.236,1.92906,0.1516,"yfs_retro"
"186",2007,2,1087.17,43.0604,3295.22,113.786,2.3986,0.18453,"yfs_retro"
"187",2008,2,1062.84,43.0597,3144.84,111.689,2.2239,0.186737,"yfs_retro"
"188",2009,2,1027.08,42.6227,2961.96,108.8,2.59427,0.221578,"yfs_retro"
"189",2010,2,1002.26,42.3084,2991.29,111.189,3.69835,0.315401,"yfs_retro"
"190",2011,2,978.89,41.974,2997.54,113.581,1.26049,0.174601,"yfs_retro"
"191",2012,2,959.962,42.1801,2946.94,115.458,0.671084,0.137092,"yfs_retro"
"192",2013,2,947.229,42.875,2862.24,116.365,1.75547,0.292791,"yfs_retro"
"193",2014,2,901.37,42.9264,2637.93,112.885,2.64331,0.518386,"yfs_retro"
"194",2015,2,888.472,44.1982,2630.7,118.165,3.92014,1.03275,"yfs_retro"
"195",2016,2,884.057,45.6318,2754.15,129.367,3.02667,1.50122,"yfs_retro"
"196",2017,2,859.657,46.3463,2672.27,133.529,2.13396,1.41784,"yfs_retro"
"197",2018,2,855.966,48.0858,2748.76,150.23,2.33455,1.65124,"yfs_retro"
"198",2019,2,867.221,50.7065,2786.33,170.424,2.35635,1.68038,"yfs_retro"
"199",1954,3,965.158,125.231,2484.65,150.51,1.94993,0.302026,"yfs_retro"
"200",1955,3,974.459,118.628,2451.51,135.354,1.38866,0.358587,"yfs_retro"
"201",1956,3,965.754,110.28,2408.74,118.694,0.951048,0.21466,"yfs_retro"
"202",1957,3,941.927,101.091,2356.3,101.17,3.22487,0.360685,"yfs_retro"
"203",1958,3,906.162,91.643,2315.22,83.508,2.35051,0.189741,"yfs_retro"
"204",1959,3,832.051,80.3595,2268.91,66.9271,1.81088,0.132573,"yfs_retro"
"205",1960,3,652.714,63.4862,2090.6,52.5558,1.71342,0.122191,"yfs_retro"
"206",1961,3,361.924,44.4858,1649.19,38.3599,0.991699,0.0923027,"yfs_retro"
"207",1962,3,45.7095,21.9719,1140.42,24.7439,1.88664,0.125469,"yfs_retro"
"208",1963,3,11.8603,6.3099,801.564,16.2311,0.993851,0.0947979,"yfs_retro"
"209",1964,3,24.6204,8.90595,843.483,16.4884,0.920333,0.0889508,"yfs_retro"
"210",1965,3,48.3918,11.417,838.642,16.4293,1.19106,0.104112,"yfs_retro"
"211",1966,3,86.0209,13.4654,887.269,17.3219,1.21421,0.111661,"yfs_retro"
"212",1967,3,118.571,13.0219,876.553,17.9159,2.54748,0.175772,"yfs_retro"
"213",1968,3,139.155,12.5742,803.736,17.9078,3.89245,0.228124,"yfs_retro"
"214",1969,3,143.969,14.1444,838.578,19.7108,3.98456,0.235905,"yfs_retro"
"215",1970,3,113.134,9.29356,811.896,21.3468,5.25379,0.274496,"yfs_retro"
"216",1971,3,97.6957,7.05274,876.63,24.6442,5.8402,0.287899,"yfs_retro"
"217",1972,3,80.0979,6.66613,948.363,28.8037,4.59227,0.2477,"yfs_retro"
"218",1973,3,81.6196,7.21945,1203.68,34.7577,3.1814,0.197379,"yfs_retro"
"219",1974,3,90.6866,7.79174,1455.07,41.2423,4.27908,0.224891,"yfs_retro"
"220",1975,3,143.051,10.3837,1816.73,49.4961,5.02676,0.240132,"yfs_retro"
"221",1976,3,203.863,12.5575,2129.02,56.8596,3.30642,0.188317,"yfs_retro"
"222",1977,3,296.593,15.5959,2445.17,63.9194,4.16333,0.213705,"yfs_retro"
"223",1978,3,413.333,18.7956,2746.13,70.5373,2.72694,0.167584,"yfs_retro"
"224",1979,3,531.772,22.1104,2911.62,76.0391,1.74233,0.131091,"yfs_retro"
"225",1980,3,663.688,25.5796,3099.08,81.0066,3.37191,0.185276,"yfs_retro"
"226",1981,3,785.482,28.8775,3270.07,85.2298,2.51542,0.157599,"yfs_retro"
"227",1982,3,853.817,30.3351,3387.39,87.2945,7.2899,0.294529,"yfs_retro"
"228",1983,3,956.448,32.7034,3366.06,87.9943,1.34937,0.11289,"yfs_retro"
"229",1984,3,1037.19,34.4489,3597.53,93.7199,6.03681,0.260114,"yfs_retro"
"230",1985,3,1085.28,36.3109,3610.28,96.7305,2.08803,0.139733,"yfs_retro"
"231",1986,3,1072.29,37.061,3322.84,93.812,1.6038,0.119642,"yfs_retro"
"232",1987,3,1066.03,38.2882,3286.43,96.2225,2.19146,0.139631,"yfs_retro"
"233",1988,3,1008.21,37.8333,3191.39,96.2265,3.00491,0.166514,"yfs_retro"
"234",1989,3,981.091,38.46,3253.77,101.018,3.00665,0.166024,"yfs_retro"
"235",1990,3,992.275,38.9956,3118.97,99.3842,1.50318,0.112241,"yfs_retro"
"236",1991,3,1073.95,40.8247,3241.29,102.608,1.69057,0.1206,"yfs_retro"
"237",1992,3,1157.28,42.8702,3454.78,108.171,3.75504,0.194219,"yfs_retro"
"238",1993,3,1193.07,44.4143,3492.62,111.039,2.24147,0.143787,"yfs_retro"
"239",1994,3,1196.39,44.6169,3538.37,112.606,1.89179,0.131108,"yfs_retro"
"240",1995,3,1195.78,45.1612,3308.44,108.756,1.90407,0.131874,"yfs_retro"
"241",1996,3,1129.02,43.5523,3225.53,107.199,4.69665,0.226388,"yfs_retro"
"242",1997,3,1092.73,43.0576,3244.38,108.72,2.02933,0.136452,"yfs_retro"
